"text";"created";"screenName"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:25;"gstvnevess"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:25;"mariaclasb"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:24;"danieIamartins"
"RT @SantosOpressivo: Jogador de futebol n<e3>o ama clube

Ama dinheiro
Ama status

QUEM AMA CLUBE SOMOS N<d3>S TORCEDORES, NUNCA SE ESQUE<c7>AM DISS<U+0085>";2019-12-19 01:29:23;"joicenovaiss"
"Baita futebol hoje";2019-12-19 01:29:17;"Mariano95_"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:16;"victorgameiro7"
"@DalhePeixe1912 @lxcxsx3 @MarinsJhonny @brunosouzaf10 @heitorcandid0 @aquafharyus @donfiori1 @futebol_info Respeita<U+0085> https://t.co/eVhW5d6opT";2019-12-19 01:29:10;"thiagomikael"
"Parei com o futebol pra comemorar https://t.co/JXS2yU6a54";2019-12-19 01:29:05;"rodrigosviana"
"@m_abner98 N<e3>o dar vc no mundo do futebol seria pol<ea>mico t<e1>";2019-12-19 01:29:01;"kftaai"
"RT @LisBebete2: @marciaaksg Eu n<e3>o me conformo, o povo vai at<e9> para o exterior assistir o jogo, sai nas ruas para comemorar um t<ed>tulo de fu<U+0085>";2019-12-19 01:29:01;"FafahMb"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:29:00;"jotace22_"
"Eu elogiava o Casemiro desde a <e9>poca do S<e3>o Paulo, meu pai me zoava, hoje ta ai, brilhando no maior clube do mundo.<U+0085> https://t.co/WphncinH9h";2019-12-19 01:28:57;"eiiiita"
"@colberthsousa @DalhePeixe1912 @aquafharyus @donfiori1 @heitorcandid0 @futebol_info Adoro uma sardinha";2019-12-19 01:28:53;"Gabrielsrn1006"
"Futebol <e9>  onze contra onze,,eles tem time bom,nois tem tbm,temos t<e9>cnico estrangeiro assim como eles,cabe a cada j<U+0085> https://t.co/MSxtTQZmxU";2019-12-19 01:28:53;"BrSantiagoCRF"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:28:51;"spkjim"
"\"RT @notavel: De tempos em tempos um jogador se rebela contra essas praxes no futebol e informa ao staff: \\"Eu vou jogar aqui mesmo, amigo. A<U+0085>\"";2019-12-19 01:28:47;"filipe_machado"
"RT @andrizek: Tirar algum padr<e3>o (negativo) do Liverpool pelo jogo de hoje <e9> n<e3>o conhecer o Liverpool. O time fez o m<ed>nimo hoje. Tentar<e1> fa<U+0085>";2019-12-19 01:28:47;"alvesthss"
"RT @ge_fla: Dono da bola, Diego distribui presentes e volta a ser decisivo com a 10 do Flamengo https://t.co/zmVTGvGM79";2019-12-19 01:28:46;"Brunobezerra26"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:28:44;"_albuquerrrque"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:28:44;"MectrefJr"
"entrar nas curtidas e s<f3> ter futebol <U+0001F924><U+0001F61B><U+0001F60D><U+0001F970><U+0001F924><U+0001F970><U+0001F924><U+0001F973>";2019-12-19 01:28:44;"yterram"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:28:44;"BrendhaFR7"
"RT @SantosOpressivo: Jogador de futebol n<e3>o ama clube

Ama dinheiro
Ama status

QUEM AMA CLUBE SOMOS N<d3>S TORCEDORES, NUNCA SE ESQUE<c7>AM DISS<U+0085>";2019-12-19 01:28:43;"lacal_arthur"
"@UBadanha @AthleticoPR Tu t<e1> falando do futebol dos anos 80, n<e3>o <e9> assim mais, n<e3>o.";2019-12-19 01:28:43;"Luciano_Gangsta"
"O dia que eu chorei por futebol,quanta alegria...... https://t.co/CSwQxhHDiZ";2019-12-19 01:28:42;"fabiospfcmetal"
"Liverpool sofre, mas marca no fim e decidir<e1> o Mundial com o Flamengo - Esportes - R7 Futebol https://t.co/IKryfdgIUr #R7 v<ed>a @portalr7";2019-12-19 01:28:39;"al_possas"
"@luizpaulomb @JuniorArj1899 @ArthurRiul @impedimento Monterrey n<e3>o <e9> o oitavo, est<e1> na decis<e3>o contra o Am<e9>rica.
Co<U+0085> https://t.co/MewD0SwYsm";2019-12-19 01:28:39;"danielgalim"
"abner me pediu uma bola de futebol da nike, nem <e9> cara <U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F>";2019-12-19 01:28:37;"uaithaliny"
"@lugdias @vicebas @_aryborges @renata_pace S<f3> respondendo a quem se dirigiu a mim. 
Vou repetir mais uma vez... Que<U+0085> https://t.co/onSbPJy93t";2019-12-19 01:28:30;"sadamveloso"
"@ze_arqux @luisrvsa Sou portista, mas acredito que falta ao sporting um jogador de peso, afinal, n<e3>o <e9> somente a ba<U+0085> https://t.co/iM3RqSNEN4";2019-12-19 01:28:26;"EduResende_21"
"@donfiori1 @aquafharyus @heitorcandid0 @futebol_info Pega tua ta<e7>a da copa 4x0 que a gente fica com a libertadores<U+0085> https://t.co/1z2wRy0qu8";2019-12-19 01:28:21;"ramonroncaglio1"
"PUTS MANO ALGUEM CANCELA ESSES CARA DE GRUPO DE FUTEBOL https://t.co/GDkOhXetQT";2019-12-19 01:28:20;"cafidencioSEP"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:28:15;"Foronmy"
"RT @RMPoficial: Aula de futebol no melhor estilo Jorge Jesus. https://t.co/1ler5Hjlzf";2019-12-19 01:28:15;"MateusDiiass2"
"N<e3>o tem mais bobo no futebol. https://t.co/mZSbwtvTcH";2019-12-19 01:28:12;"gauchevivido"
